Medal,Event,City / Country,Date
Gold,Men 400 Medley,"Athens, GRE","Aug 14, 2004"
Bronze,Men 4x100 Freestyle Relay,"Athens, GRE","Aug 15, 2004"
Bronze,Men 200 Freestyle,"Athens, GRE","Aug 16, 2004"
Gold,Men 200 Butterfly,"Athens, GRE","Aug 17, 2004"
Gold,Men 4x200 Freestyle Relay,"Athens, GRE","Aug 17, 2004"
Gold,Men 200 Medley,"Athens, GRE","Aug 19, 2004"
Gold,Men 100 Butterfly,"Athens, GRE","Aug 20, 2004"
Gold,Men 4x100 Medley Relay,"Athens, GRE","Aug 21, 2004"
Gold,Men 400 Medley,"Beijing, CHN","Aug 10, 2008"
Gold,Men 4x100 Freestyle Relay,"Beijing, CHN","Aug 11, 2008"
Gold,Men 200 Freestyle,"Beijing, CHN","Aug 12, 2008"
Gold,Men 200 Butterfly,"Beijing, CHN","Aug 13, 2008"
Gold,Men 4x200 Freestyle Relay,"Beijing, CHN","Aug 13, 2008"
Gold,Men 200 Medley,"Beijing, CHN","Aug 15, 2008"
Gold,Men 100 Butterfly,"Beijing, CHN","Aug 16, 2008"
Gold,Men 4x100 Medley Relay,"Beijing, CHN","Aug 17, 2008"
Silver,Men 4x100 Freestyle Relay,"London, GBR","Jul 29, 2012"
Gold,Men 4x200 Freestyle Relay,"London, GBR","Jul 31, 2012"
Silver,Men 200 Butterfly,"London, GBR","Jul 31, 2012"
Gold,Men 200 Medley,"London, GBR","Aug 2, 2012"
Gold,Men 100 Butterfly,"London, GBR","Aug 3, 2012"
Gold,Men 4x100 Medley Relay,"London, GBR","Aug 4, 2012"
Gold,Men 4x100 Freestyle Relay,"Rio de Janeiro, BRA","Aug 7, 2016"
Gold,Men 200 Butterfly,"Rio de Janeiro, BRA","Aug 9, 2016"
Gold,Men 4x200 Freestyle Relay,"Rio de Janeiro, BRA","Aug 9, 2016"
Gold,Men 200 Medley,"Rio de Janeiro, BRA","Aug 11, 2016"
Gold,Men 4x100 Medley Relay,"Rio de Janeiro, BRA","Aug 13, 2016"
Silver,Men 100 Butterfly,"Rio de Janeiro, BRA","Aug 12, 2016*"
